Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,066062,1868,08,18.1,Y
IDCJAC0002,066062,1868,09,19.7,Y
IDCJAC0002,066062,1868,10,23.8,Y
IDCJAC0002,066062,1868,11,22.2,Y
IDCJAC0002,066062,1868,12,26.6,Y
IDCJAC0002,066062,1869,01,26.7,Y
IDCJAC0002,066062,1869,02,24.8,Y
IDCJAC0002,066062,1869,03,25.6,Y
IDCJAC0002,066062,1869,04,21.7,Y
IDCJAC0002,066062,1869,05,18.0,Y
IDCJAC0002,066062,1869,06,16.5,Y
IDCJAC0002,066062,1869,07,15.3,Y
IDCJAC0002,066062,1869,08,17.9,Y
IDCJAC0002,066062,1869,09,17.6,Y
IDCJAC0002,066062,1869,10,20.6,Y
IDCJAC0002,066062,1869,11,23.0,Y
IDCJAC0002,066062,1869,12,24.9,Y
IDCJAC0002,066062,1870,01,25.8,Y
IDCJAC0002,066062,1870,02,25.8,Y
IDCJAC0002,066062,1870,03,22.4,Y
IDCJAC0002,066062,1870,04,22.0,Y
IDCJAC0002,066062,1870,05,17.7,Y
IDCJAC0002,066062,1870,06,16.3,Y
IDCJAC0002,066062,1870,07,15.2,Y
IDCJAC0002,066062,1870,08,16.0,Y
IDCJAC0002,066062,1870,09,18.3,Y
IDCJAC0002,066062,1870,10,21.5,Y
IDCJAC0002,066062,1870,11,23.3,Y
IDCJAC0002,066062,1870,12,24.1,Y
IDCJAC0002,066062,1871,01,24.2,Y
IDCJAC0002,066062,1871,02,24.8,Y
IDCJAC0002,066062,1871,03,22.4,Y
IDCJAC0002,066062,1871,04,21.4,Y
IDCJAC0002,066062,1871,05,18.5,Y
IDCJAC0002,066062,1871,06,16.0,Y
IDCJAC0002,066062,1871,07,16.1,Y
IDCJAC0002,066062,1871,08,18.5,Y
IDCJAC0002,066062,1871,09,19.2,Y
IDCJAC0002,066062,1871,10,20.0,Y
IDCJAC0002,066062,1871,11,22.6,Y
IDCJAC0002,066062,1871,12,26.2,Y
IDCJAC0002,066062,1872,01,26.4,Y
IDCJAC0002,066062,1872,02,25.4,Y
IDCJAC0002,066062,1872,03,23.3,Y
IDCJAC0002,066062,1872,04,20.5,Y
IDCJAC0002,066062,1872,05,17.4,Y
IDCJAC0002,066062,1872,06,16.7,Y
IDCJAC0002,066062,1872,07,15.5,Y
IDCJAC0002,066062,1872,08,15.3,Y
IDCJAC0002,066062,1872,09,19.0,Y
IDCJAC0002,066062,1872,10,21.2,Y
IDCJAC0002,066062,1872,11,22.8,Y
IDCJAC0002,066062,1872,12,24.7,Y
IDCJAC0002,066062,1873,01,24.3,Y
IDCJAC0002,066062,1873,02,24.9,Y
IDCJAC0002,066062,1873,03,23.4,Y
IDCJAC0002,066062,1873,04,20.9,Y
IDCJAC0002,066062,1873,05,19.6,Y
IDCJAC0002,066062,1873,06,17.2,Y
IDCJAC0002,066062,1873,07,14.6,Y
IDCJAC0002,066062,1873,08,17.8,Y
IDCJAC0002,066062,1873,09,20.2,Y
IDCJAC0002,066062,1873,10,21.8,Y
IDCJAC0002,066062,1873,11,20.7,Y
IDCJAC0002,066062,1873,12,25.8,Y
IDCJAC0002,066062,1874,01,24.9,Y
IDCJAC0002,066062,1874,02,24.6,Y
IDCJAC0002,066062,1874,03,24.1,Y
IDCJAC0002,066062,1874,04,22.0,Y
IDCJAC0002,066062,1874,05,18.1,Y
IDCJAC0002,066062,1874,06,15.3,Y
IDCJAC0002,066062,1874,07,14.3,Y
IDCJAC0002,066062,1874,08,16.4,Y
IDCJAC0002,066062,1874,09,18.7,Y
IDCJAC0002,066062,1874,10,23.7,Y
IDCJAC0002,066062,1874,11,24.8,Y
IDCJAC0002,066062,1874,12,26.1,Y
IDCJAC0002,066062,1875,01,26.9,Y
IDCJAC0002,066062,1875,02,23.9,Y
IDCJAC0002,066062,1875,03,23.8,Y
IDCJAC0002,066062,1875,04,21.4,Y
IDCJAC0002,066062,1875,05,17.5,Y
IDCJAC0002,066062,1875,06,16.7,Y
IDCJAC0002,066062,1875,07,15.1,Y
IDCJAC0002,066062,1875,08,18.9,Y
IDCJAC0002,066062,1875,09,19.0,Y
IDCJAC0002,066062,1875,10,22.3,Y
IDCJAC0002,066062,1875,11,25.1,Y
IDCJAC0002,066062,1875,12,26.5,Y
IDCJAC0002,066062,1876,01,26.1,Y
IDCJAC0002,066062,1876,02,25.3,Y
IDCJAC0002,066062,1876,03,25.6,Y
IDCJAC0002,066062,1876,04,23.1,Y
IDCJAC0002,066062,1876,05,18.5,Y
IDCJAC0002,066062,1876,06,16.1,Y
IDCJAC0002,066062,1876,07,14.6,Y
IDCJAC0002,066062,1876,08,16.7,Y
IDCJAC0002,066062,1876,09,19.2,Y
IDCJAC0002,066062,1876,10,21.6,Y
IDCJAC0002,066062,1876,11,23.6,Y
IDCJAC0002,066062,1876,12,25.1,Y
IDCJAC0002,066062,1877,01,25.7,Y
IDCJAC0002,066062,1877,02,25.9,Y
IDCJAC0002,066062,1877,03,24.2,Y
IDCJAC0002,066062,1877,04,22.0,Y
IDCJAC0002,066062,1877,05,18.4,Y
IDCJAC0002,066062,1877,06,16.7,Y
IDCJAC0002,066062,1877,07,15.8,Y
